word,translation,pronunciation,partOfSpeech,definition,exampleSentence
mustache,小胡子,/ˈməˌstæʃ/,noun,hair above a man's upper lip,His mustache is neat.
bearded,有胡子的,/ˈbɪrdəd/,adjective,having a beard - facial hair,The bearded man smiled.
mustached,有小胡子的,/ˈməˌstæʃt/,adjective,having a mustache - hair above lip,The mustached waiter served us.
hair,头发,/hɛr/,noun,the strands growing on your head - can be long or short,She has long hair.
blond,金色的,/blɑnd/,adjective,having light yellow hair - like sunshine,He has blond hair.
blonde,金色的,/blɑnd/,adjective,having light yellow hair - golden,She is blonde.
brown,棕色的,/braʊn/,adjective,having the color of coffee or chocolate,Brown eyes are common.
black,黑色的,/blæk/,adjective,having the darkest color - like night,She has black hair.
red,红棕色的,/rɛd/,adjective,having the color of blood or fire,Red hair is rare.
long,长的,/lɔŋ/,adjective,having great length - extended,She has long hair.
curly,卷的,/ˈkərli/,adjective,having hair that forms curls - wavy,Curly hair is beautiful.
straight,直的,/streɪt/,adjective,not curved or bent - direct line,Her hair is straight.
eyes,眼睛,/aɪz/,noun,the organs you see with - windows to the soul,Your eyes are beautiful.
blue,蓝色的,/blu/,adjective,having the color of the sky - beautiful,Blue eyes are pretty.
green,绿色的,/grin/,adjective,having the color of grass - nature,Green eyes are rare.
big,大的,/bɪg/,adjective,large in size - huge,She has big eyes.
large,大的,/lɑrʤ/,adjective,big in size - spacious,We need a large table for the party.
small,小的,/smɔl/,adjective,little in size - tiny,It's a small house.
kind,友好的,/kaɪnd/,adjective,caring and helpful - nice to others,She is very kind.
nice,友好的，随和的,/nis/,adjective,pleasant and friendly - good person,He is a nice person.
friendly,友好的，随和的,/ˈfrɛndli/,adjective,pleasant and easy to talk to - approachable,The staff is friendly.
generous,慷慨的,/ˈʤɛnərəs/,adjective,willing to give or share - not selfish,She is generous with money.
patient,耐心的,/ˈpeɪʃənt/,adjective,able to wait calmly - doesn't get angry quickly,Teachers must be patient.
optimistic,乐观的,/ˌɑptɪˈmɪstɪk/,adjective,hopeful about the future - sees the bright side,Stay optimistic!
funny,有趣的,/ˈfəni/,adjective,making people laugh - humorous,He tells funny jokes.
intelligent,聪明的,/ˌɪnˈtɛləʤənt/,adjective,very smart - quick thinker,She is very intelligent.
smart,聪明的,/smɑrt/,adjective,clever and quick to learn - bright,You are so smart!
brave,勇敢的,/breɪv/,adjective,not afraid of danger - courageous,Be brave!
courageous,勇敢的,/kərˈeɪʤəs/,adjective,brave in difficult situations - fearless,That was courageous.
mean,坏的/刻薄的,/min/,adjective,unkind or cruel - not nice,Don't be mean.
selfish,自私的,/ˈsɛlfɪʃ/,adjective,caring only about yourself - not sharing,Selfish people are not liked.
impatient,不耐烦的,/ˌɪmˈpeɪʃənt/,adjective,not able to wait calmly - wants things now,I'm impatient today.
pessimistic,悲观的,/ˌpɛsəˈmɪstɪk/,adjective,expecting bad things to happen - negative,Don't be pessimistic.
sad,悲伤的,/sæd/,adjective,feeling unhappy - down,Why are you sad?
serious,严肃的,/ˈsɪriəs/,adjective,not joking or playful - focused,He looks serious.
shy,害羞的,/ʃaɪ/,adjective,nervous around other people - quiet,She is shy.
stressed,有压力的,/strɛst/,adjective,feeling worried and tense - under pressure,I'm stressed about work.
unpleasant,令人不愉快的,/ənˈplɛzənt/,adjective,not nice or enjoyable - bad,That was unpleasant.
stupid,愚蠢的,/ˈstupɪd/,adjective,not smart - unwise,That's a stupid idea.
silly,愚蠢的,/ˈsɪli/,adjective,foolish or not serious - playful,Don't be silly.
calm,安静的,/kɑm/,adjective,peaceful and relaxed - tranquil,Stay calm.
active,活跃的,/ˈæktɪv/,adjective,doing many things - energetic,Children are very active.
talkative,健谈的,/ˈtɔkətɪv/,adjective,liking to talk a lot - chatty,She is talkative.
silent,安静的,/ˈsaɪlənt/,adjective,making no sound - quiet,The room was silent.
quiet,安静的,/kwaɪət/,adjective,making little noise - peaceful,Please be quiet.
housing,住所,/ˈhaʊzɪŋ/,noun,places where people live - homes,Housing is expensive here.
house,房子,/haʊs/,noun,a building where people live - a home,This house is beautiful.
elevator,电梯,/ˈɛləˌveɪtər/,noun,a machine that moves people between floors - press a button,Take the elevator to the fifth floor.
lift,电梯,/lɪft/,noun,a machine that moves people between floors - British word,The lift is broken.
floor,楼层,/flɔr/,noun,"the level of a building - first floor, second floor",Which floor do you live on?
storey,楼层,/ˈstɔri/,noun,a level of a building - same as floor,It's a three-storey building.
room,房间,/rum/,noun,a space inside a building - like bedroom or kitchen,This room is too small.
landlord,房东,/ˈlænˌdlɔrd/,noun,a person who owns property you rent - you pay them,The landlord is nice.
landlady,房东,/ˈlænˌdleɪdi/,noun,a woman who owns property you rent,The landlady collects rent.
bedroom,卧室,/ˈbɛˌdrum/,noun,a room for sleeping - has a bed,My bedroom is cozy.
living room,客厅,/ˈlɪvɪŋ rum/,noun,a room for relaxing and entertaining - where you watch TV,We watch TV in the living room.
kitchen,厨房,/ˈkɪʧən/,noun,a room for cooking - has stove and fridge,The kitchen is clean.
bathroom,浴室,/ˈbæθˌrum/,noun,a room with a toilet and sink - for washing,Where is the bathroom?
toilet,厕所,/ˈtɔɪlət/,noun,a fixture for getting rid of waste - flush it,The toilet is over there.
restroom,厕所,/ˈrɛˌstrum/,noun,a public bathroom - in restaurants and stores,Can I use the restroom?
hallway,走廊,/ˈhɔlˌweɪ/,noun,a narrow passage in a building - connects rooms,The hallway is narrow.
corridor,走廊,/ˈkɔrɪdər/,noun,a long passage in a building - walkway,Walk down the corridor.
bed,床,/bɛd/,noun,a piece of furniture for sleeping - soft and cozy,I sleep in my bed.
table,桌子,/ˈteɪbəl/,noun,a flat surface with legs - you eat and work on it,Can we get a table for two?
chair,椅子,/ʧɛr/,noun,a seat with a back - you sit on it at the table,Please sit in this chair.
sofa,沙发,/ˈsoʊfə/,noun,a long comfortable seat - sit and relax,Sit on the sofa.
couch,沙发,/kaʊʧ/,noun,a long comfortable seat - same as sofa,The couch is comfortable.
wardrobe,衣柜,/ˈwɔrˌdroʊb/,noun,a tall cupboard for clothes - hang your clothes,Hang clothes in the wardrobe.
closet,衣柜,/ˈklɑzət/,noun,a small room or cupboard for clothes - store things,Put it in the closet.
bookshelf,书架,/ˈbʊkˌʃɛlf/,noun,a shelf for books - organize your books,Books are on the bookshelf.
shelf,架子,/ʃɛlf/,noun,a flat surface for placing things - put stuff on it,Put it on the shelf.
desk,办公桌,/dɛsk/,noun,a table for working or studying - do homework here,I work at my desk.
lamp,灯,/læmp/,noun,a device that gives light - turn it on,Turn on the lamp.
refrigerator,冰箱,/rɪˈfrɪʤərˌeɪtər/,noun,a machine that keeps food cold - your fridge,Food is in the refrigerator.
fridge,冰箱,/frɪʤ/,noun,a machine that keeps food cold - short for refrigerator,Check the fridge.
oven,烤箱,/ˈəvən/,noun,a machine for baking or roasting - makes food hot,Preheat the oven.
microwave,微波炉,/ˈmaɪkrəˌweɪv/,noun,a machine that heats food quickly - beep beep,Heat it in the microwave.
stove,灶具,/stoʊv/,noun,a device for cooking - has burners,Cook on the stove.
dishwasher,洗碗机,/ˈdɪʃˌwɑʃər/,noun,a machine that washes dishes for you,Load the dishwasher.
TV,电视,/ˌtɛləˈvɪʒən/,noun,a device for watching programs - entertainment,Turn on the TV.
television,电视,/ˈtɛləˌvɪʒən/,noun,a device for watching programs - same as TV,What's on television?
window,窗户,/ˈwɪndoʊ/,noun,an opening in a wall with glass - see outside,Open the window.
door,门,/dɔr/,noun,an opening to enter a room - open and close,Close the door.
wall,墙,/wɔl/,noun,the side of a room or building - vertical surface,Hang a picture on the wall.
ceiling,天花板,/ˈsilɪŋ/,noun,the top surface of a room - look up,The ceiling is high.
carpet,地毯,/ˈkɑrpət/,noun,a floor covering made of fabric - soft under feet,The carpet is soft.
rug,地毯,/rəg/,noun,a floor covering smaller than a carpet - decorative,There's a rug on the floor.
house,房子,/haʊs/,noun,a building where people live - a home,This house is beautiful.
apartment,公寓,/əˈpɑrtmənt/,noun,a set of rooms in a building - smaller than a house,I live in an apartment.
flat,公寓,/flæt/,noun,a set of rooms in a building - British word,The flat has two rooms.
studio,单间公寓,/ˈstudiˌoʊ/,noun,a small apartment with one room - compact,A studio is small.
building,建筑,/ˈbɪldɪŋ/,noun,a structure with walls and a roof - where people live or work,That building is tall.
floor,楼层,/flɔr/,noun,"the level of a building - first floor, second floor",Which floor do you live on?
storey,楼层,/ˈstɔri/,noun,a level of a building - same as floor,It's a three-storey building.
ground floor,底层,/graʊnd flɔr/,noun,the floor at street level - first floor,The shop is on the ground floor.
stairs,楼梯,/stɛrz/,noun,steps for going up or down - climb them,Take the stairs.
elevator,电梯,/ˈɛləˌveɪtər/,noun,a machine that moves people between floors - press a button,Take the elevator to the fifth floor.
lift,电梯,/lɪft/,noun,a machine that moves people between floors - British word,The lift is broken.
hallway,走廊,/ˈhɔlˌweɪ/,noun,a narrow passage in a building - connects rooms,The hallway is narrow.
corridor,走廊,/ˈkɔrɪdər/,noun,a long passage in a building - walkway,Walk down the corridor.
balcony,阳台,/ˈbælkəni/,noun,a platform outside a room - enjoy the view,We have coffee on the balcony.
garden,花园,/ˈgɑrdən/,verb,an area with plants and flowers - beautiful,We have a garden.
garage,车库,/gərɑʒ/,noun,a building for keeping cars - park here,Park the car in the garage.
front door,入口门,/frənt dɔr/,noun,the main entrance to a building - welcome,Ring the bell at the front door.
downtown,市中心,/ˈdaʊnˈtaʊn/,noun,the central part of a city - busy area,I work downtown.
city center,市中心,/ˈsɪti ˈsɛnər/,noun,the main part of a city - lots of shops,The city center is busy.
suburb,郊区,/ˈsəbərb/,noun,an area outside the city center - quieter,We live in the suburbs.
countryside,乡村,/ˈkəntriˌsaɪd/,noun,rural areas outside cities - peaceful,The countryside is peaceful.
near,靠近,/nɪr/,preposition,close to - not far,The shop is near here.
far from,远离,/fɑr frəm/,preposition,a long distance away - distant,It's far from the city.
to repair,修理,/rɪˈpɛr/,verb,to fix something broken - make it work again,Can you repair this?
to fix,修理,/fɪks/,verb,to make something work again - repair,I need to fix my bike.
to break,打破,/breɪk/,verb,to damage something - make it not work,Don't break it!
to work,工作,/wərk/,verb,to do your job - earn money,Does this work?
not to work,不工作/坏了,/nɑt tɪ wərk/,noun,not functioning properly - broken,This doesn't work.
to stop working,停止工作,/stɑp ˈwərkɪŋ/,verb,to no longer function - broke down,My phone stopped working.
hammer,锤子,/ˈhæmər/,noun,a tool for hitting nails - bang bang,Use a hammer to nail.
screwdriver,螺丝刀,/ˈskruˌdraɪvər/,noun,a tool for turning screws - twist,I need a screwdriver.
key,钥匙/扳手,/ki/,noun,a metal object for opening locks - unlock doors,I lost my key.
wrench,钥匙/扳手,/rɛnʧ/,noun,a tool for turning nuts and bolts - tighten,Pass me the wrench.
pliers,钳子,/plaɪərz/,noun,a tool for holding or cutting - grip things,Use pliers to hold it.
drill,电钻,/drɪl/,noun,a tool for making holes - loud noise,The drill is loud.
tools,工具,/tulz/,noun,instruments for doing work - help you fix things,I need my tools.
light bulb,灯泡,/laɪt bəlb/,noun,a glass object that gives light - screw it in,Change the light bulb.
faucet,水龙头,/ˈfɔsət/,noun,a device that controls water flow - turn it on,The faucet is leaking.
tap,水龙头,/tæp/,noun,a device that controls water flow - British word,Turn off the tap.
lock,锁,/lɑk/,noun,a device for securing doors - keeps things safe,Lock the door.
breakdown,故障,/ˈbreɪkˌdaʊn/,noun,when something stops working - broken,We had a breakdown.
fault,故障,/fɔlt/,noun,a problem or defect - something wrong,It's not my fault.
broken,出故障,/ˈbroʊkən/,adjective,not working or damaged - needs fixing,This is broken.
problem,问题,/ˈprɑbləm/,noun,something that needs to be solved - issue,What's the problem?
repair,修理,/rɪˈpɛr/,verb,fixing something - making it work,The repair costs a lot.
repairs,修理工作,/rɪˈpɛrz/,noun,work done to fix things - maintenance,Repairs take time.
water leak,漏水,/ˈwɔtər lik/,noun,water escaping from pipes - drip drip,There's a water leak.
electrician,电工,/ɪlɛkˈtrɪʃən/,noun,a person who fixes electrical things - knows wires,Call an electrician.
plumber,水管工,/ˈpləmər/,noun,a person who fixes pipes - knows water,The plumber fixed it.
locksmith,锁匠,/ˈlɑksˌmɪθ/,noun,a person who fixes locks - makes keys,I need a locksmith.
to travel,旅行,/ˈtrævəl/,verb,to go to different places - see the world,I love to travel.
to leave,出发,/liv/,verb,to go away from a place - depart,When do you leave?
to arrive,到达,/əraɪv/,verb,to reach a destination - get there,We arrive at three.
to visit,参观,/ˈvɪzɪt/,verb,to go see a place or person - explore,I want to visit Paris.
to go on vacation,去度假,/goʊ ɔn veɪˈkeɪʃən/,verb,to take time off for travel - have fun,We go on vacation in summer.
plane,飞机,/pleɪn/,noun,a vehicle that flies - up in the sky,The plane is delayed.
train,火车,/treɪn/,noun,a vehicle that runs on tracks - choo choo,Take the train.
car,汽车,/kɑr/,noun,a vehicle with four wheels - drive it,I drive a car.
bus,公交车,/bəs/,noun,a large vehicle for many passengers - public transport,The bus is coming.
subway,地铁,/ˈsəbˌweɪ/,noun,an underground train - under the city,Take the subway downtown.
metro,地铁,/ˈmɛˌtroʊ/,noun,an underground train system - fast,The metro is fast.
boat,船,/boʊt/,noun,a vehicle that floats on water - sail,We took a boat trip.
ship,船,/ʃɪp/,noun,a large boat - huge,The ship is huge.
bicycle,自行车,/ˈbaɪsɪkəl/,noun,a vehicle with two wheels - pedal,Ride a bicycle.
bike,自行车,/baɪk/,noun,a vehicle with two wheels - short for bicycle,I ride my bike to work.
trip,旅行,/trɪp/,noun,a journey to a place - adventure,Have a good trip!
journey,旅行,/ˈʤərni/,noun,travel from one place to another - long trip,The journey was long.
vacation,假期,/veɪˈkeɪʃən/,noun,time off from work - relax,I need a vacation.
holiday,假期,/ˈhɑlɪˌdeɪ/,noun,a day of celebration or rest - special day,Happy holidays!
ticket,票,/ˈtɪkɪt/,noun,a piece of paper for travel or events - need it to enter,Buy a ticket online.
suitcase,行李箱,/ˈsutˌkeɪs/,noun,a bag for carrying clothes when traveling - pack it,Pack your suitcase.
hotel,酒店,/hoʊˈtɛl/,noun,a place where you stay when traveling - sleep here,We stayed at a hotel.
destination,目的地,/ˌdɛstɪˈneɪʃən/,noun,the place you are going to - your goal,What's your destination?
passport,护照,/ˈpæˌspɔrt/,noun,a document for traveling to other countries - shows who you are,Don't forget your passport.
camping,露营,/ˈkæmpɪŋ/,noun,sleeping outdoors in a tent - under the stars,Camping is fun.
single room,单人房,/ˈsɪŋgəl rum/,noun,a hotel room for one person - small,I booked a single room.
double room,双人房,/ˈdəbəl rum/,noun,a hotel room for two people - bigger,We need a double room.
parking,停车场,/ˈpɑrkɪŋ/,noun,a place to leave your car - park here,Is there parking?
swimming pool,游泳池,/sˈwɪmɪŋ pul/,noun,a place for swimming - jump in,The swimming pool is open.
Wi-Fi,无线网络,/ˈwaɪˌfaɪ/,noun,wireless Internet connection - connect without wires,Is there Wi-Fi here?
Internet,无线网络,/ˈɪntərˌnɛt/,noun,the global computer network - information everywhere,The Internet is slow.
to be hungry,饿了,/bi ˈhəŋgri/,verb,to need food - stomach rumbling,I'm hungry.
to be thirsty,渴了,/bi ˈθərsti/,verb,to need water - dry mouth,Are you thirsty?
to be hot,热,/bi hɑt/,verb,to feel too warm - sweating,I'm hot.
to be cold,冷,/bi koʊld/,verb,to feel too cool - shivering,I'm cold.
to be in pain,疼痛,/bi ɪn peɪn/,verb,to feel hurt - ouch,I'm in pain.
to be tired,疲惫,/bi taɪərd/,verb,to need rest - sleepy,I'm tired.
to be sick,生病,/bi sɪk/,verb,to feel unwell - not healthy,I'm sick today.
to feel,感觉,/fil/,verb,to experience a sensation - how you feel,How do you feel?
to touch,触摸,/təʧ/,verb,to feel with your hand - contact,Don't touch that!
to see,看见,/si/,verb,to use your eyes - look,Can you see it?
to hear,听见,/hir/,verb,to use your ears - listen,I can't hear you.
to taste,品尝,/teɪst/,verb,to experience flavor - how it tastes,"Taste this, it's good."
hunger,饥饿,/ˈhəŋgər/,noun,the feeling of needing food - empty stomach,I feel hunger.
thirst,口渴,/θərst/,noun,the feeling of needing water - need drink,Quench your thirst.
pain,疼痛,/peɪn/,noun,an unpleasant feeling - hurts,I have pain in my back.
fatigue,疲劳,/fəˈtig/,noun,extreme tiredness - exhausted,Fatigue makes me sleepy.
cold,感冒,/koʊld/,noun,an illness with a runny nose - sneeze,I caught a cold.
heat,热,/hit/,noun,high temperature - hot,The heat is unbearable.
humid,潮湿的,/ˈjumɪd/,adjective,having a lot of moisture in the air - sticky,It's humid today.
hot,热的,/hɑt/,adjective,having high temperature - warm,It's hot outside.
dry,干燥的,/draɪ/,adjective,having no moisture - not wet,The air is dry.
comfortable,舒适的,/ˈkəmfərtəbəl/,adjective,feeling relaxed and at ease - cozy,This chair is comfortable.
noisy,吵闹的,/ˈnɔɪzi/,adjective,making a lot of sound - loud,It's too noisy here.
silent,安静的,/ˈsaɪlənt/,adjective,making no sound - quiet,The room was silent.
quiet,安静的,/kwaɪət/,adjective,making little noise - peaceful,Please be quiet.
colorful,多彩的,/ˈkələrfəl/,adjective,having many colors - bright,The garden is colorful.
happy,高兴的,/ˈhæpi/,adjective,feeling joy - smile,I'm happy today.
sad,悲伤的,/sæd/,adjective,feeling unhappy - down,Why are you sad?
excited,兴奋的,/ɪkˈsaɪtɪd/,adjective,feeling enthusiastic - thrilled,I'm excited about the trip.
anxious,焦虑的,/ˈæŋʃəs/,adjective,feeling worried - nervous,Don't be anxious.
tired,疲倦的,/taɪərd/,adjective,needing rest,This is tired.
relaxed,放松的,/rɪˈlækst/,adjective,feeling calm - peaceful,I feel relaxed.
horrible,可怕的,/ˈhɔrəbəl/,adjective,very bad - terrible,That's horrible!
delicious,美味的,/dɪˈlɪʃəs/,adjective,tasting very good - yummy,This food is delicious!
sweet,甜的,/swit/,adjective,tasting like sugar - sugary,This cake is too sweet.
salty,咸的,/ˈsɔlti/,adjective,tasting like salt - savory,The soup is too salty.
spicy,辣的,/ˈspaɪsi/,adjective,having a hot flavor - makes your mouth burn,I don't like spicy food.
soft,柔软的/温和的,/sɔft/,adjective,smooth and gentle to touch - fluffy,This pillow is soft.
sharp,刺激的,/ʃɑrp/,adjective,having a fine edge - be careful,"Be careful, it's sharp."
problem,问题,/ˈprɑbləm/,noun,something that needs to be solved - issue,What's the problem?
difficulty,困难,/ˈdɪfɪˌkəlti/,noun,something hard to do - challenging,I have difficulty with math.
worry,担忧,/ˈwəri/,verb,to worry,Don't worry.
concern,担忧,/kənˈsərn/,noun,worry or care - attention,That's a concern.
stress,压力,/strɛs/,noun,mental pressure - tension,Work causes stress.
money problems,金钱问题,/ˈməni ˈprɑbləmz/,noun,difficulties with finances - broke,We have money problems.
work problems,工作问题,/wərk ˈprɑbləmz/,noun,difficulties at your job - issues,There are work problems.
health problems,健康问题,/hɛlθ ˈprɑbləmz/,noun,medical issues - sick,She has health problems.
family problems,家庭问题,/ˈfæməli ˈprɑbləmz/,noun,difficulties with relatives - conflict,They have family problems.
transport problems,交通问题,/ˈtrænspɔrt ˈprɑbləmz/,noun,difficulties with travel - delays,There are transport problems.
traffic jam,交通堵塞,/ˈtræfɪk ʤæm/,noun,many cars stuck on the road - slow,We're stuck in a traffic jam.
delay,迟到,/dɪˈleɪ/,noun,being late - behind schedule,Sorry for the delay.
to be late,迟到,/bi leɪt/,verb,to arrive after the expected time - tardy,Don't be late!
to arrive late,迟到到达,/əraɪv leɪt/,verb,to reach a place after the time - delayed,I arrived late.
strike,罢工,/straɪk/,noun,when workers stop working - protest,There's a train strike.
breakdown,故障,/ˈbreɪkˌdaʊn/,noun,when something stops working - broken,We had a breakdown.
fault,故障,/fɔlt/,noun,a problem or defect - something wrong,It's not my fault.
to break down,出故障,/breɪk daʊn/,verb,to stop working - broken,The car broke down.
to forget,忘记,/fərˈgɛt/,verb,to not remember - memory loss,Don't forget your keys.
to lose,丢失,/luz/,verb,to not be able to find - misplaced,I always lose my keys.
to get lost,迷路,/gɪt lɔst/,verb,to not know where you are - confused,We got lost.
to miss,错过,/mɪs/,verb,to feel sad about someone's absence - longing,I miss you.
to have a problem,有问题,/hæv ə ˈprɑbləm/,verb,to experience difficulty - issue,Do you have a problem?
to solve,解决,/sɑlv/,verb,to find an answer - fix,Let's solve this problem.
to worry,担心,/ˈwəri/,verb,to feel anxious - concern,Don't worry about it.
to be concerned,担忧,/bi kənˈsərnd/,verb,to be worried - care,I'm concerned about you.
happy,高兴的,/ˈhæpi/,adjective,feeling joy - smile,I'm happy today.
content,满意的,/ˈkɑntɛnt/,adjective,satisfied - happy with what you have,I'm content with my life.
satisfied,满意的,/ˈsætɪsˌfaɪd/,adjective,pleased with something - content,Are you satisfied?
joyful,快乐的,/ˈʤɔɪfəl/,adjective,very happy - ecstatic,She is joyful.
proud,骄傲的,/praʊd/,adjective,feeling good about achievements - accomplished,I'm proud of you.
excited,兴奋的,/ɪkˈsaɪtɪd/,adjective,feeling enthusiastic - thrilled,I'm excited about the trip.
in love,恋爱的,/ɪn ləv/,adjective,feeling romantic love - heart full,They are in love.
sad,悲伤的,/sæd/,adjective,feeling unhappy - down,Why are you sad?
unhappy,不幸的,/ənˈhæpi/,adjective,not happy - sad,Why are you unhappy?
angry,生气的,/ˈæŋgri/,adjective,feeling mad - furious,Don't be angry.
annoyed,恼怒的,/əˈnɔɪd/,adjective,slightly angry - irritated,I'm annoyed.
disappointed,失望的,/ˌdɪsəˈpɔɪnɪd/,adjective,sad because expectations weren't met - let down,I'm disappointed.
worried,担心的,/ˈwərid/,adjective,feeling anxious - concerned,I'm worried about you.
anxious,焦虑的,/ˈæŋʃəs/,adjective,feeling worried - nervous,Don't be anxious.
stressed,有压力的,/strɛst/,adjective,feeling worried and tense - under pressure,I'm stressed about work.
panicked,恐慌的,/ˈpænɪkt/,adjective,feeling sudden fear - scared,Don't panic!
joy,快乐,/ʤɔɪ/,noun,great happiness - delight,This brings me joy.
sadness,悲伤,/ˈsædnəs/,noun,the feeling of being sad - sorrow,I feel sadness.
anger,愤怒,/ˈæŋgər/,noun,strong feeling of being mad - rage,Control your anger.
disappointment,失望,/ˌdɪsəˈpɔɪntmənt/,noun,sadness from unmet expectations - letdown,I feel disappointment.
surprise,惊讶,/səˈpraɪz/,noun,an unexpected event - shock,What a surprise!
concern,担忧,/kənˈsərn/,noun,worry or care - attention,That's a concern.
worry,担忧,/ˈwəri/,verb,to worry,Don't worry.
panic,恐慌,/ˈpænɪk/,noun,sudden fear - terror,Don't panic!
stress,压力,/strɛs/,noun,mental pressure - tension,Work causes stress.
fear,恐惧,/fɪr/,noun,the feeling of being afraid - scared,I have no fear.
love,爱,/ləv/,verb,strong affection - deep care,I love you.
head,头,/hɛd/,noun,the top part of your body - where your brain is,My head hurts.
neck,脖子,/nɛk/,noun,the part connecting head and body - supports your head,My neck is stiff.
shoulder,肩膀,/ˈʃoʊldər/,noun,the part where your arm connects - wide,I hurt my shoulder.
arm,手臂,/ɑrm/,noun,the limb from shoulder to hand - wave it,Raise your arm.
hand,手,/hænd/,noun,the end of your arm with fingers - grab things,Shake my hand.
finger,手指,/ˈfɪŋgər/,noun,one of five parts on your hand - point,Point with your finger.
chest,胸部,/ʧɛst/,noun,the front of your upper body - where your heart is,My chest hurts.
back,背,/bæk/,noun,the rear of your body - spine,My back is sore.
leg,腿,/lɛg/,noun,the limb from hip to foot - walk,I broke my leg.
foot,脚,/fʊt/,noun,the end of your leg - step,My foot hurts.
face,脸,/feɪs/,noun,the front of your head - shows emotions,Wash your face.
eyes,眼睛,/aɪz/,noun,the organs you see with - windows to the soul,Your eyes are beautiful.
nose,鼻子,/noʊz/,noun,the part you smell with - in the middle of your face,My nose is running.
mouth,嘴巴,/maʊθ/,noun,the opening you eat and speak with - talk and eat,Open your mouth.
lips,嘴唇,/lɪps/,noun,the edges of your mouth - kiss,Her lips are red.
teeth,牙齿,/tiθ/,noun,hard white things in your mouth - chew,Brush your teeth.
ears,耳朵,/ɪrz/,noun,the parts you hear with - listen,My ears are cold.
hair,头发,/hɛr/,noun,the strands growing on your head - can be long or short,She has long hair.
forehead,额头,/ˈfɔrhɛd/,noun,the part above your eyes - think,She has a high forehead.
chin,下巴,/ʧɪn/,noun,the bottom of your face - pointy,He has a strong chin.
to be sick,生病,/bi sɪk/,verb,to feel unwell - not healthy,I'm sick today.
to be ill,生病,/bi ɪl/,verb,to be unwell - sick,She is ill.
illness,疾病,/ˈɪlnəs/,noun,a state of being unwell - disease,The illness is serious.
disease,疾病,/dɪˈziz/,noun,a serious illness - medical condition,This disease is rare.
cold,感冒,/koʊld/,noun,an illness with a runny nose - sneeze,I caught a cold.
flu,流感,/flu/,noun,a common illness with fever - feel terrible,I have the flu.
fever,发烧,/ˈfivər/,noun,high body temperature - hot,She has a fever.
cough,咳嗽,/kɔf/,noun,forcing air from your lungs - hack,I have a bad cough.
headache,头疼,/ˈhɛˌdeɪk/,noun,pain in your head - ouch,I have a headache.
sore throat,喉咙疼,/sɔr θroʊt/,noun,pain in your throat - hurts to swallow,I have a sore throat.
to have a fever,发烧,/hæv ə ˈfivər/,verb,to have high temperature - burning up,The child has a fever.
to have a pain,疼痛（某处）,/hæv ə peɪn/,verb,to feel hurt somewhere - ouch,I have a pain in my leg.
fatigue,疲劳,/fəˈtig/,noun,extreme tiredness - exhausted,Fatigue makes me sleepy.
to be tired,疲惫,/bi taɪərd/,verb,to need rest - sleepy,I'm tired.
doctor,医生,/ˈdɔktər/,noun,a person who treats illness - helps you get better,See a doctor.
hospital,医院,/ˈhɑˌspɪtəl/,noun,a place for treating serious illness - medical care,Go to the hospital.
pharmacy,药店,/ˈfɑːrməsi/,noun,a special shop where you get medicine when you feel sick,Can you stop at the pharmacy for me?
drugstore,药店,/ˈdrəgˌstɔr/,noun,"a shop that sells medicine, bandages, and other things to help you feel better",I need to pick up medicine at the drugstore.
medicine,药物,/ˈmɛdəsən/,noun,substances that treat illness - makes you better,Take your medicine.
medication,药物,/ˌmɛdəˈkeɪʃən/,noun,medicine prescribed by a doctor - pills,Are you on medication?
pill,药丸,/pɪl/,noun,a small round medicine - swallow it,Take one pill.
tablet,药片,/ˈtæblət/,noun,a small flat medicine - take it,Swallow the tablet.
prescription,处方,/prəˈskrɪpʃən/,noun,a doctor's written order for medicine - needed to buy,I need a prescription.
to take medicine,吃药,/teɪk ˈmɛdəsən/,verb,to swallow medicine - get better,Take medicine after meals.
aspirin,阿司匹林,/ˈæsprɪn/,noun,a medicine for pain - relieves headache,Take an aspirin.
bandage,绷带,/ˈbændɪʤ/,noun,a strip for covering wounds - protects cuts,Put a bandage on it.
ointment,药膏,/ˈɔɪntmənt/,noun,a cream for treating skin - heals,Apply the ointment.
syrup,糖浆,/ˈsɪrəp/,noun,thick liquid medicine - sweet,Take cough syrup.
thermometer,温度计,/θərˈmɑmətər/,noun,a device for measuring temperature - check fever,Check your temperature with a thermometer.
to get sick,生病,/gɪt sɪk/,verb,to become ill - catch something,I got sick.
to recover,治愈,/rɪˈkəvər/,verb,to get better after illness - heal,I hope you recover soon.
to get better,治愈,/gɪt ˈbɛtər/,verb,to improve in health - feel good again,Get better soon!
to treat,治疗,/trit/,verb,to give medical care - help heal,How do you treat this?
to go to the doctor,去看医生,/goʊ tɪ ðə ˈdɔktər/,verb,to visit a medical professional - get checked,I need to go to the doctor.
to have a headache,头疼,/hæv ə ˈhɛˌdeɪk/,verb,to feel pain in your head - head hurts,I have a headache.
to have a sore throat,喉咙疼,/hæv ə sɔr θroʊt/,verb,to feel pain when swallowing - throat hurts,I have a sore throat.
to have back pain,背疼,/hæv bæk peɪn/,verb,to feel pain in your back - backache,I have back pain.
to have a toothache,牙疼,/hæv ə toothache*/,verb,to feel pain in your tooth - tooth hurts,I have a toothache.
