word,translation,pronunciation,partOfSpeech,definition,exampleSentence
elevator,电梯,/ˈɛləˌveɪtər/,noun,a elevator - thing or person,Take the elevator.
lift,电梯,/lɪft/,noun,a lift - thing or person,The lift is broken.
floor,楼层,/flɔr/,noun,a floor - thing or person,Which floor do you live on?
storey,楼层,/ˈstɔri/,noun,a storey - thing or person,It's a three-storey building.
ground floor,底层/一楼,/graʊnd flɔr/,noun,a ground floor - thing or person,The shop is on the ground floor.
old,老的,/oʊld/,adjective,having lived many years - not young,The old man walked slowly.
new,新的,/nu/,adjective,having the quality of new - characteristic,We bought a new house.
quiet,安静的,/kwaɪət/,adjective,making little noise - peaceful,Please be quiet.
noisy,吵闹的,/ˈnɔɪzi/,adjective,making a lot of sound - loud,It's too noisy here.
bright,明亮的,/braɪt/,adjective,having the quality of bright - characteristic,The room is bright.
dark,阴暗的,/dɑrk/,adjective,having the quality of dark - characteristic,It's dark in here.
comfortable,舒适的,/ˈkəmfərtəbəl/,adjective,having the quality of comfortable - characteristic,This chair is comfortable.
available,可供出租或出售的,/əˈveɪləbəl/,adjective,having the quality of available - characteristic,Is this apartment available?
equipped,设备齐全的,/ɪkˈwɪpt/,adjective,having the quality of equipped - characteristic,The kitchen is well equipped.
furnished,带家具的,/ˈfərnɪʃt/,adjective,having the quality of furnished - characteristic,The apartment is furnished.
renovated,翻新的,/ˈrɛnəˌveɪtɪd/,adjective,having the quality of renovated - characteristic,The house was recently renovated.
square meter (m²),平方米,/skwɛr ˈmitər/,noun,a unit of length - 100 centimeters,The apartment is 50 square meters.
area,面积,/ˈɛriə/,noun,the size of a surface - space,What's the area?
rent,房租,/rɛnt/,noun,a rent - thing or person,The rent is expensive.
charges,费用,/ˈʧɑrʤɪz/,noun,multiple charge - more than one,Charges are included.
fees,费用,/fiz/,noun,multiple fee - more than one,There are extra fees.
heating,暖气,/ˈhitɪŋ/,noun,a heating - thing or person,The heating works well.
water,水费,/ˈwɔtər/,noun,a water - thing or person,Hot water is available.
electricity,电费,/ɪˌlɛkˈtrɪsəti/,noun,a electricity - thing or person,The electricity is included.
gas,天然气费,/gæs/,noun,a gas - thing or person,We use gas for cooking.
insurance,保险,/ˌɪnˈʃʊrəns/,noun,a insurance - thing or person,Do you have insurance?
Internet subscription,网络订阅费,/ˈɪntərˌnɛt səbˈskrɪpʃən/,noun,the global network - connects computers,I need an Internet subscription.
tenant,租户,/ˈtɛnənt/,noun,a tenant - thing or person,The tenant pays rent.
landlord,房东/业主,/ˈlænˌdlɔrd/,noun,a landlord - thing or person,The landlord is nice.
owner,房东/业主,/ˈoʊnər/,noun,a owner - thing or person,The owner lives upstairs.
roommate,合租室友,/ˈruˌmeɪt/,noun,a roommate - thing or person,My roommate is friendly.
shared accommodation,合租,/ʃɛrd əˌkɑməˈdeɪʃən/,noun,a shared accommodation - thing or person,I live in shared accommodation.
desk,办公桌,/dɛsk/,noun,a desk - thing or person,I work at my desk.
sofa,沙发,/ˈsoʊfə/,noun,the amount in one sofa - measurement,Sit on the sofa.
couch,沙发,/kaʊʧ/,noun,a couch - thing or person,The couch is comfortable.
chair,椅子,/ʧɛr/,noun,a seat - sit on it,Sit in this chair.
shelf,书架,/ʃɛlf/,noun,a shelf - thing or person,Put it on the shelf.
bed,床,/bɛd/,noun,a bed - thing or person,I sleep in my bed.
closet,壁橱,/ˈklɑzət/,noun,a closet - thing or person,Put it in the closet.
wardrobe,衣柜,/ˈwɔrˌdroʊb/,noun,a wardrobe - thing or person,Hang clothes in the wardrobe.
table,桌子,/ˈteɪbəl/,noun,a flat surface for eating - furniture,Can we get a table?
stool,凳子,/stul/,noun,a stool - thing or person,Sit on the stool.
television,看电视,/ˈtɛləˌvɪʒən/,noun,a device that shows moving pictures and sounds - entertainment box,What's on television?
TV,电视,/ˌtɛləˈvɪʒən/,noun,a TV - thing or person,Turn on the TV.
armchair,扶手椅,/ˈɑrmˌʧɛr/,noun,a armchair - thing or person,The armchair is comfortable.
coffee table,茶几,/ˈkɔfi ˈteɪbəl/,noun,a flat surface for eating - furniture,Put your cup on the coffee table.
bedside table,床头柜,/ˈbɛdˌsaɪd ˈteɪbəl/,noun,a flat surface for eating - furniture,The lamp is on the bedside table.
nightstand,床头柜,/ˈnaɪtˌstænd/,noun,a nightstand - thing or person,Put your book on the nightstand.
chest of drawers,五斗柜,/ʧɛst əv drɔrz/,noun,the amount in one drawers - measurement,The chest of drawers is old.
bookcase,书柜,/ˈbʊkˌkeɪs/,noun,a bookcase - thing or person,Books are in the bookcase.
bookshelf,书柜,/ˈbʊkˌʃɛlf/,noun,a bookshelf - thing or person,Books are on the bookshelf.
sideboard,餐具柜,/sideboard*/,noun,a sideboard - thing or person,The sideboard is in the dining room.
mirror,镜子,/ˈmɪrər/,noun,a mirror - thing or person,Look in the mirror.
carpet,地毯,/ˈkɑrpət/,noun,a carpet - thing or person,The carpet is soft.
rug,地毯,/rəg/,noun,a rug - thing or person,There's a rug on the floor.
picture frame,相框,/ˈpɪkʧər freɪm/,noun,a picture frame - thing or person,Put the photo in a picture frame.
cushion,靠垫,/ˈkʊʃən/,noun,a cushion - thing or person,The cushion is soft.
pillow,靠垫,/ˈpɪloʊ/,noun,a pillow - thing or person,I need a new pillow.
clock,时钟,/klɑk/,noun,a clock - thing or person,The clock shows three o'clock.
lamp,灯,/læmp/,noun,a lamp - thing or person,Turn on the lamp.
plant,植物,/plænt/,noun,a plant - thing or person,Water the plant.
curtain,窗帘,/ˈkərtən/,noun,a curtain - thing or person,Close the curtain.
household appliances,家用电器,/ˈhaʊsˌhoʊld əˈplaɪənsɪz/,noun,multiple household appliance - more than one,Modern household appliances save time.
duvet,被子,/duvet*/,noun,a duvet - thing or person,The duvet is warm.
comforter,被子,/ˈkəmfərtər/,noun,a comforter - thing or person,I need a comforter.
shower,淋浴,/ʃaʊər/,noun,a shower - thing or person,Take a shower.
sink,水槽,/sɪŋk/,noun,a sink - thing or person,Wash dishes in the sink.
oven,烤箱,/ˈəvən/,noun,a oven - thing or person,Preheat the oven.
washbasin,洗手池,/ˈwɑʃˌbeɪsən/,noun,a washbasin - thing or person,Wash your hands in the washbasin.
washing machine,洗衣机,/ˈwɑʃɪŋ məˈʃin/,noun,a washing machine - thing or person,Put clothes in the washing machine.
dishwasher,洗碗机,/ˈdɪʃˌwɑʃər/,noun,a dishwasher - thing or person,Load the dishwasher.
coffee maker,咖啡机,/ˈkɔfi ˈmeɪkər/,noun,the amount in one maker - measurement,The coffee maker is broken.
refrigerator,冰箱,/rɪˈfrɪʤərˌeɪtər/,noun,a refrigerator - thing or person,Food is in the refrigerator.
fridge,冰箱,/frɪʤ/,noun,a fridge - thing or person,Check the fridge.
tall,高的,/tɔl/,adjective,having the quality of tall - characteristic,He is very tall.
short,短的,/ʃɔrt/,adjective,having the quality of short - characteristic,She is short.
of average height,中等身材,/əv ˈævərɪʤ haɪt/,preposition,a of average height - 中等身材,He is of average height.
thin,瘦的,/θɪn/,adjective,having the quality of thin - characteristic,She is thin.
slim,瘦的,/slɪm/,adjective,having the quality of slim - characteristic,She has a slim figure.
fat,胖的,/fæt/,adjective,having the quality of fat - characteristic,That word is not polite.
overweight,胖的,/ˌoʊvərˈweɪt/,adjective,having the quality of overweight - characteristic,He is overweight.
skinny,瘦的,/ˈskɪni/,adjective,having the quality of skinny - characteristic,She is too skinny.
muscular,肌肉发达的,/ˈməskjələr/,adjective,having the quality of muscular - characteristic,He is muscular.
hair,头发,/hɛr/,noun,a hair - thing or person,She has long hair.
blond,金色的,/blɑnd/,adjective,having the quality of blond - characteristic,He has blond hair.
blonde,金色的,/blɑnd/,adjective,having the quality of blonde - characteristic,She is blonde.
brown,棕色的,/braʊn/,adjective,having the quality of brown - characteristic,Brown eyes are common.
black,黑色的,/blæk/,adjective,having the quality of black - characteristic,She has black hair.
red,红棕色的,/rɛd/,adjective,having the quality of red - characteristic,Red hair is rare.
long,长的,/lɔŋ/,adjective,having the quality of long - characteristic,She has long hair.
curly,卷的,/ˈkərli/,adjective,having the quality of curly - characteristic,Curly hair is beautiful.
straight,直的,/streɪt/,adjective,having the quality of straight - characteristic,Her hair is straight.
eyes,眼睛,/aɪz/,noun,multiple eye - more than one,Your eyes are beautiful.
blue,蓝色的,/blu/,adjective,having the quality of blue - characteristic,Blue eyes are pretty.
green,绿色的,/grin/,adjective,having the quality of green - characteristic,Green eyes are rare.
big,大的,/bɪg/,adjective,having the quality of big - characteristic,She has big eyes.
large,大的,/lɑrʤ/,adjective,having the quality of large - characteristic,Large eyes are attractive.
small,小的,/smɔl/,adjective,having the quality of small - characteristic,She has small hands.
face,脸,/feɪs/,noun,the front of your head - shows emotions,Wash your face.
round,圆的,/raʊnd/,adjective,shaped like a circle - curved,She has a round face.
oval,椭圆的,/ˈoʊvəl/,adjective,shaped like an egg - elongated circle,She has an oval face.
beard,胡子,/bɪrd/,noun,hair on a man's face - grows on chin,He has a long beard.
mustache,小胡子,/ˈməˌstæʃ/,noun,hair above a man's upper lip,His mustache is neat.
glasses,眼镜,/ˈglæsɪz/,noun,frames with lenses - help you see,I can't read without my glasses.
bearded,有胡须的,/ˈbɪrdəd/,adjective,having a beard - facial hair,The bearded man smiled.
bald,秃头的,/bɔld/,adjective,having no hair on head - smooth,He is bald.
dimple,酒窝,/ˈdɪmpəl/,noun,a small dent in your cheek - appears when you smile,She has a dimple.
chin,下巴,/ʧɪn/,noun,the bottom of your face - pointy,He has a strong chin.
smile,微笑,/smaɪl/,noun,when your mouth curves up - shows happiness,She has a beautiful smile.
elderly,年长的,/ˈɛldərli/,adjective,very old - advanced age,The elderly need care.
old,老的,/oʊld/,adjective,having lived many years - not young,The old man walked slowly.
young,年轻的,/jəŋ/,adjective,having lived few years - not old,She is young.
to look healthy,看起来气色好,/lʊk ˈhɛlθi/,verb,to appear well and fit - good condition,You look healthy.
to look unhealthy,看起来气色不好,/lʊk ənˈhɛlθi/,verb,to appear sick or weak - not well,He looks unhealthy.
to have a perfect body,拥有完美的身体,/hæv ə ˈpərˌfɪkt ˈbɑdi/,verb,to have an ideal physique - fit and attractive,She has a perfect body.
to feel good about oneself,感觉自在，对自己满意,/fil gʊd əˈbaʊt ˌwənˈsɛlf/,verb,to be confident - happy with yourself,Feel good about yourself.
plump,肥胖的,/pləmp/,adjective,slightly fat - rounded,She has a plump figure.
strong,强壮的,/strɔŋ/,adjective,having great power - muscular,He is strong.
to be tall,身材高大,/bi tɔl/,verb,to have great height - very high,She is tall.
to be short,身材娇小,/bi ʃɔrt/,verb,to have little height - not tall,He is short.
to wear size 44,穿44码,/wɛr saɪz 44/,verb,to need size 44 clothing - specific size,I wear size 44.
lean,干瘦的,/lin/,adjective,thin and fit - athletic,He has a lean build.
to be 1.60 m tall,身高1.60米,/bi 1.60* ɛm tɔl/,verb,to have height of 1.60 meters - specific height,She is 1.60 m tall.
to look like,类似于，长得像,/lʊk laɪk/,verb,to appear similar to - resemble,You look like your mother.
to resemble,类似于，长得像,/rɪˈzɛmbəl/,verb,to look similar to - like someone else,They resemble each other.
to be the double of,是某人的替身,/bi ðə ˈdəbəl əv/,verb,to look exactly like - identical,He is the double of his father.
to look the part,看起来适合这份工作,/lʊk ðə pɑrt/,verb,to appear suitable for a role - fit the job,You look the part.
kind,友好的,/kaɪnd/,adjective,caring and helpful - nice to others,She is very kind.
mean,坏的,/min/,adjective,unkind or cruel - not nice,Don't be mean.
nice,友好的,/nis/,adjective,pleasant and friendly - good person,He is a nice person.
friendly,友好的,/ˈfrɛndli/,adjective,pleasant and easy to talk to - approachable,The staff is friendly.
funny,有趣的,/ˈfəni/,adjective,making people laugh - humorous,He tells funny jokes.
serious,严肃的,/ˈsɪriəs/,adjective,not joking or playful - focused,He looks serious.
calm,平静的,/kɑm/,adjective,peaceful and relaxed - tranquil,Stay calm.
energetic,精力充沛的,/ˌɛnərˈʤɛtɪk/,adjective,full of energy - active,Children are energetic.
intelligent,聪明的,/ˌɪnˈtɛləʤənt/,adjective,very smart - quick thinker,She is very intelligent.
smart,聪明的,/smɑrt/,adjective,clever and quick to learn - bright,You are so smart!
stupid,愚蠢的,/ˈstupɪd/,adjective,not smart - unwise,That's a stupid idea.
creative,有创造力的,/kriˈeɪtɪv/,adjective,able to create new things - imaginative,She is creative.
gifted,有天赋的,/ˈgɪftɪd/,adjective,having natural talent - talented,He is gifted in music.
clever,机灵的,/ˈklɛvər/,adjective,quick to understand - smart,That's clever!
optimistic,乐观的,/ˌɑptɪˈmɪstɪk/,adjective,hopeful about the future - sees the bright side,Stay optimistic!
pessimistic,悲观的,/ˌpɛsəˈmɪstɪk/,adjective,expecting bad things to happen - negative,Don't be pessimistic.
joyful,快乐的,/ˈʤɔɪfəl/,adjective,very happy - ecstatic,She is joyful.
happy,快乐的,/ˈhæpi/,adjective,feeling joy - smile,I'm happy today.
sad,悲伤的,/sæd/,adjective,feeling unhappy - down,Why are you sad?
nervous,紧张的,/ˈnərvəs/,adjective,feeling worried - anxious,I'm nervous about the exam.
relaxed,放松的,/rɪˈlækst/,adjective,feeling calm - peaceful,I feel relaxed.
sociable,善于社交的,/ˈsoʊʃəbəl/,adjective,liking to be with people - outgoing,She is sociable.
shy,害羞的,/ʃaɪ/,adjective,nervous around other people - quiet,She is shy.
extroverted,外向的,/ˈɛkstrəˌvərtɪd/,adjective,outgoing and social - loves people,He is extroverted.
introverted,内向的,/ˈɪntroʊˌvərtɪd/,adjective,preferring to be alone - quiet,She is introverted.
talkative,健谈的,/ˈtɔkətɪv/,adjective,liking to talk a lot - chatty,She is talkative.
silent,沉默的,/ˈsaɪlənt/,adjective,making no sound - quiet,The room was silent.
quiet,安静的,/kwaɪət/,adjective,making little noise - peaceful,Please be quiet.
warm,热情的,/wɔrm/,adjective,friendly and kind - welcoming,She has a warm personality.
curious,好奇的,/ˈkjʊriəs/,adjective,wanting to know things - interested,Children are curious.
discreet,谨慎的,/dɪˈskrit/,adjective,careful about what you say - secretive,Be discreet about this.
gentle,温柔的,/ˈʤɛnəl/,adjective,soft and kind - tender,She is gentle.
loyal,忠诚的,/lɔɪəl/,adjective,faithful and devoted - trustworthy,He is loyal to his friends.
honest,诚实的,/ˈɑnəst/,adjective,telling the truth - truthful,Be honest with me.
independent,独立的,/ˌɪndɪˈpɛndənt/,adjective,able to do things alone - self-reliant,She is independent.
organized,有条理的,/ˈɔrgəˌnaɪzd/,adjective,neat and orderly - tidy,I'm very organized.
prudent,谨慎的,/ˈprudənt/,adjective,careful and wise - cautious,Be prudent with money.
thoughtful,深思熟虑的,/ˈθɔtfəl/,adjective,considerate and caring - kind,That was thoughtful of you.
spontaneous,自发的,/spɑnˈteɪniəs/,adjective,acting without planning - impulsive,She is spontaneous.
hardworking,勤奋的,/ˈhɑrdˌwərkɪŋ/,adjective,working very hard - diligent,He is hardworking.
authoritarian,独裁的,/əˌθɔrəˈtɛriən/,adjective,strict and controlling - bossy,The boss is authoritarian.
noisy,吵闹的,/ˈnɔɪzi/,adjective,making a lot of sound - loud,It's too noisy here.
cruel,残忍的,/kruəl/,adjective,causing pain - mean,Don't be cruel.
envious,嫉妒的,/ˈɛnviəs/,adjective,wanting what others have - jealous,She is envious.
worried,焦虑的,/ˈwərid/,adjective,feeling anxious - concerned,I'm worried about you.
obsessive,有洁癖的,/əbˈsɛsɪv/,adjective,thinking about something too much - fixated,He is obsessive about cleanliness.
lying,说谎的,/laɪɪŋ/,adjective,not telling the truth - dishonest,Lying is wrong.
lazy,懒惰的,/ˈleɪzi/,adjective,not wanting to work - idle,Don't be lazy.
fearful,胆怯的,/ˈfɪrfəl/,adjective,afraid - scared,She is fearful of dogs.
pretentious,自负的,/priˈtɛnʃəs/,adjective,acting better than you are - showy,He is pretentious.
shameless,不知羞耻的,/ˈʃeɪmləs/,adjective,having no shame - bold,That was shameless.
superficial,肤浅的,/ˌsupərˈfɪʃəl/,adjective,not deep - shallow,Don't be superficial.
stubborn,固执的,/ˈstəbərn/,adjective,refusing to change - determined,He is stubborn.
science,科学,/saɪəns/,noun,the study of how things work - understanding the world,Science is fascinating.
mathematics,数学,/ˌmæθəˈmætɪks/,noun,the study of numbers - math,Mathematics is difficult.
physics,物理,/ˈfɪzɪks/,noun,the study of matter and energy - how things move,Physics explains the world.
chemistry,化学,/ˈkɛmɪstri/,noun,the study of substances - reactions and changes,Chemistry is interesting.
biology,生物学,/baɪˈɑləʤi/,noun,the study of living things - life sciences,Biology studies life.
astronomy,天文学,/əˈstrɑnəmi/,noun,the study of stars and planets - space science,Astronomy studies stars.
to do an experiment,做实验,/du ən ɪkˈspɛrəmənt/,verb,to test something scientifically - discover,We did an experiment.
to observe,观察,/əbˈzərv/,verb,to watch carefully - study,Observe carefully.
to analyze,分析,/ˈænəˌlaɪz/,verb,to examine in detail - understand,Analyze the data.
to discover,发现,/dɪˈskəvər/,verb,to find something new - learn,Scientists discover new things.
to study,学习,/ˈstədi/,verb,to learn by reading and practicing - work hard to understand,I study English every day.
to measure,测量,/ˈmɛʒər/,verb,to find the size or amount - quantify,Measure the temperature.
microscope,显微镜,/ˈmaɪkrəskəʊp/,noun,a device that makes tiny things look big - see small things,Look through the microscope.
telescope,望远镜,/ˈtelɪskəʊp/,noun,a device that makes far things look close - see stars,The telescope is powerful.
laboratory,实验室,/ləˈbɒrətri/,noun,a room for experiments - science room,We work in the laboratory.
test tube,试管,/tɛst tub/,noun,a small glass tube for experiments - science tool,Put it in a test tube.
balance,天平,/ˈbæləns/,noun,a device for weighing things - measure weight,Use a balance to weigh.
thermometer,温度计,/θəˈmɒmɪtə/,noun,a device for measuring temperature - check heat,Check your temperature with a thermometer.
theory,理论,/ˈθɪri/,noun,an idea that explains something - scientific explanation,This is just a theory.
law,定律,/lɔ/,noun,a rule that always works - scientific principle,Newton's law of gravity.
experiment,实验,/ɪkˈspɛrəmənt/,noun,a test to discover something - scientific test,The experiment was successful.
research,研究,/ˈrisərʧ/,noun,careful study to find answers - investigation,Research takes time.
science and technology,科学与技术,/saɪəns ənd tɛkˈnɑləʤi/,noun,knowledge and tools - progress,Science and technology advance quickly.
progress,进步,/ˈprɑˌgrɛs/,noun,moving forward - improvement,We make progress every day.
researcher,研究员,/ˈrisərʧər/,noun,a person who studies - scientist,The researcher published a paper.
discovery,发现,/ˌdɪˈskəvri/,noun,finding something new - breakthrough,This is a great discovery.
solar energy,太阳能,/ˈsoʊlər ˈɛnərʤi/,noun,power from the sun - renewable energy,Solar energy is renewable.
innovation,创新,/ˌɪnəˈveɪʃən/,noun,new ideas and inventions - creativity,Innovation drives progress.
to invent,发明,/ˌɪnˈvɛnt/,verb,to create something new - make something original,He invented a new machine.
inventor,发明家,/ˌɪnˈvɛntər/,noun,a person who creates new things - creative genius,The inventor was famous.
invention,发明,/ˌɪnˈvɛnʃən/,noun,something new that was created - new device,This invention changed the world.
technology,技术,/tekˈnɒlədʒi/,noun,tools and machines - makes life easier,Technology improves our lives.
machines,机器,/məˈʃinz/,noun,devices that do work - mechanical helpers,Machines make work easier.
device,设备,/dɪˈvaɪs/,noun,a tool or machine - useful object,This device is useful.
engine,发动机,/ˈɪnʤən/,noun,a machine that makes things move - provides power,The engine is powerful.
motor,发动机,/ˈmoʊtər/,noun,a machine that creates motion - powers things,The motor runs smoothly.
robot,机器人,/ˈroʊˌbət/,noun,a machine that can do tasks - automated helper,Robots help in factories.
to break down,坏了,/breɪk daʊn/,verb,to stop working - malfunction,The car broke down.
to work,运作,/wərk/,verb,to function properly - operate,Does this work?
to function,运作,/ˈfəŋkʃən/,verb,to work correctly - operate properly,The machine functions well.
to work well,运作良好,/wərk wɛl/,verb,to function perfectly - excellent performance,Everything works well.
to work poorly,运作不良,/wərk ˈpurli/,verb,to function badly - not working well,This works poorly.
automatic,自动的,/ˌɔtəˈmætɪk/,adjective,working by itself - no manual control needed,This is automatic.
computer,电脑,/kəmˈpjuːtə/,noun,a machine that processes information - does calculations,I work on my computer.
PC,个人电脑,/ˈpiˈsi/,noun,personal computer - desktop or laptop,I have a PC.
phone,手机,/foʊn/,verb,a device for talking to people far away - communication,Answer the phone.
telephone,电话,/ˈtelɪfəʊn/,noun,a device for making calls - older word for phone,The telephone rang.
mobile phone,手机,/ˈmoʊbəl foʊn/,noun,a phone you can carry - portable,My mobile phone is new.
cell phone,手机,/sɛl foʊn/,noun,a portable phone - mobile device,I forgot my cell phone.
landline,固定电话,/landline*/,noun,a phone connected by wire - fixed phone,We have a landline.
smartphone,智能手机,/ˈsmɑːtfəʊn/,noun,a phone with internet - like a small computer,Smartphones are useful.
tablet,平板电脑,/ˈtæblɪt/,noun,a flat computer - touch screen device,I read on my tablet.
laptop,笔记本电脑,/ˈlæptɒp/,noun,a portable computer - work anywhere,I use my laptop for work.
printer,打印机,/ˈprɪnər/,noun,a machine that prints on paper - makes copies,The printer is out of paper.
screen,显示屏,/skrin/,noun,the display on a device - shows information,The screen is bright.
keyboard,键盘,/ˈkiːbɔːd/,noun,keys for typing - input device,Type on the keyboard.
mouse,鼠标,/maʊs/,noun,a device for clicking - controls cursor,Move the mouse.
USB drive,U盘,/usb* draɪv/,noun,a small storage device - save files,Save files on a USB drive.
battery,电池,/ˈbætəri/,noun,a device that stores power - provides energy,The battery is low.
Internet,互联网,/ˈɪntənet/,noun,the global network - connects computers,The Internet is slow.
Wi-Fi,无线网络,/ˈwaɪˌfaɪ/,noun,wireless internet - connect without cables,Is there Wi-Fi here?
email,电子邮件,/iˈmeɪl/,noun,electronic mail - send messages online,Check your email.
message,消息,/ˈmɛsɪʤ/,noun,a piece of information - communication,I sent you a message.
SMS,短信,/ˌɛˌsɛˈmɛs/,noun,short text message - quick communication,Send an SMS.
text message,短信,/tɛkst ˈmɛsɪʤ/,noun,a written message on phone - text,I got a text message.
call,通话,/kɔl/,verb,to speak on the phone - phone conversation,Make a call.
video conference,视频会议,/ˈvɪdioʊ ˈkɑnfərəns/,noun,a meeting by video - see and talk online,We have a video conference.
video call,视频会议,/ˈvɪdioʊ kɔl/,noun,a call with video - see the person,Let's make a video call.
website,网站,/ˈwɛbˌsaɪt/,noun,a place on the internet - web page,Visit our website.
online,在线,/ˈɔnˌlaɪn/,adverb,connected to the internet - on the web,I shop online.
application,应用程序,/ˌæplɪˈkeɪʃən/,noun,a program on a device - app,Download this application.
app,应用程序,/æp/,noun,a program on your phone - application,This app is useful.
software,软件,/ˈsɒftweə/,noun,programs for computers - digital tools,Install the software.
social media,社交媒体,/ˈsoʊʃəl ˈmidiə/,noun,"websites for sharing - Facebook, Instagram, etc.",I use social media.
instant messaging,即时通讯,/ˈɪnstənt ˈmɛsɪʤɪŋ/,noun,quick online messages - chat,Use instant messaging.
selfie,自拍,/ˈsɛlˌfi/,noun,a photo of yourself - self-portrait,Take a selfie.
to send,发送,/sɛnd/,verb,to deliver something - transmit,Send me an email.
to send an email,发送电子邮件,/sɛnd ən iˈmeɪl/,verb,to mail electronically - digital message,I'll send an email.
to receive,接收,/rɪˈsiv/,verb,to get something - obtain,Did you receive my message?
to download,下载,/ˈdaʊnˌloʊd/,verb,to get files from internet - save to device,Download the file.
to download a document,,/ˈdaʊnˌloʊd ə ˈdɑkjəmɛnt/,verb,to get a file from internet - save it,Download a document.
video,,/ˈvɪdioʊ/,noun,moving pictures - film,Watch this video.
photo,,/ˈfoʊˌtoʊ/,noun,a picture - snapshot,Take a photo.
to browse,浏览,/braʊz/,verb,to look around - explore,Browse the Internet.
to surf,浏览,/sərf/,verb,to ride waves on a board - exciting sport,Surf the web.
to share,分享,/ʃɛr/,verb,to give to others - distribute,Share this post.
to publish,发布,/ˈpəblɪʃ/,verb,to make public - put online,Publish your article.
to print,打印,/prɪnt/,verb,to make a paper copy - print on paper,Print this document.
to log in,登录,/lɔg ɪn/,verb,to enter your account - sign in,Log in to your account.
to unsubscribe,取消订阅,/ənsəbˈskraɪb/,verb,to stop receiving - cancel subscription,Unsubscribe from emails.
to contact someone,联系某人,/ˈkɑnˌtækt ˈsəmˌwən/,verb,to reach someone - get in touch,Contact me if you need help.
to call someone,给某人打电话,/kɔl ˈsəmˌwən/,verb,to phone someone - speak on phone,Call me tomorrow.
to phone someone,给某人打电话,/foʊn ˈsəmˌwən/,verb,to call someone - make a call,I'll phone you later.
to pick up,接电话,/pɪk əp/,verb,to answer the phone - take the call,Pick up the phone.
to hang up,挂电话,/hæŋ əp/,verb,to end a call - finish talking,Hang up the phone.
to answer the phone,接电话,/ˈænsər ðə foʊn/,verb,to respond to a call - pick up,"Answer the phone, please."
to turn off,关闭,/tərn ɔf/,verb,to stop a device - shut down,Turn off your phone.
to turn on,打开,/tərn ɔn/,verb,to start a device - power up,Turn on the computer.
to be reachable,可以联系到,/bi ˈriʧəbəl/,verb,to be able to be contacted - available,I'm always reachable.
to make a video call,进行视频会议,/meɪk ə ˈvɪdioʊ kɔl/,verb,to call with video - see each other,Let's make a video call.
meter,米,/ˈmitər/,noun,a unit of length - 100 centimeters,The room is 5 meters long.
centimeter,厘米,/ˈsɛntəˌmitər/,noun,a small unit of length - 1/100 of a meter,It's 10 centimeters tall.
kilometer,公里,/ˈkɪləˌmitər/,noun,a unit of distance - 1000 meters,It's 2 kilometers away.
millimeter,毫米,/ˈmɪləˌmitər/,noun,a tiny unit of length - 1/1000 of a meter,It's 5 millimeters thick.
length,长度,/lɛŋθ/,noun,how long something is - distance,What's the length?
gram,克,/græm/,noun,a unit of weight - very light,Add 100 grams of sugar.
kilogram,公斤,/ˈkɪləˌgræm/,noun,a unit of weight - 1000 grams,I weigh 70 kilograms.
ton,吨,/tən/,noun,a large unit of weight - 1000 kilograms,The truck weighs 5 tons.
weight,重量,/weɪt/,noun,how heavy something is - mass,What's your weight?
liter,升,/ˈlitər/,noun,a unit of volume - liquid measurement,I need a liter of milk.
milliliter,毫升,/ˈmɪləˌlitər/,noun,a tiny unit of volume - 1/1000 of a liter,Add 50 milliliters.
centiliter,厘升,/centiliter*/,noun,a small unit of volume - 1/100 of a liter,Pour 10 centiliters.
capacity,容量,/kəˈpæsɪti/,noun,how much something can hold - volume,What's the capacity?
square meter,平方米,/skwɛr ˈmitər/,noun,a unit of area - length times width,The room is 20 square meters.
square kilometer,平方公里,/skwɛr ˈkɪləˌmitər/,noun,a large unit of area - big spaces,The city is 100 square kilometers.
hectare,公顷,/ˈhɛkˌtɑr/,noun,"a unit of area - 10,000 square meters",The farm is 10 hectares.
area,面积,/ˈɛriə/,noun,the size of a surface - space,What's the area?
second,秒,/ˈsɛkənd/,noun,a unit of time - 60 seconds = 1 minute,Wait a second.
minute,分钟,/ˈmɪnət/,noun,a unit of time - 60 seconds,It takes 5 minutes.
hour,小时,/aʊər/,noun,a unit of time - 60 minutes,I work 8 hours a day.
day,天,/deɪ/,noun,24 hours - from sunrise to sunrise,Have a nice day!
week,星期,/wik/,noun,7 days - Monday to Sunday,See you next week.
month,月,/mənθ/,noun,about 30 days - part of a year,I'll be back in a month.
year,年,/jɪr/,noun,365 days - 12 months,Happy New Year!
a box,一盒，通常用于水果或小食,/ə bɑks/,noun,a a box - thing or person,I bought a box of chocolates.
a can,一罐/盒，通常用于食物,/ə kən/,noun,a a can - thing or person,Open a can of beans.
tin,一罐/盒，通常用于食物,/tɪn/,noun,a tin - thing or person,A tin of tuna.
a can of food,一罐食品,/ə kæn əv fud/,noun,the amount in one food - measurement,Buy a can of food.
a bundle,一捆，通常用于蔬菜,/ə ˈbəndəl/,noun,a a bundle - thing or person,A bundle of sticks.
a scoop,一球，通常用于冰淇淋或其他球状食物,/ə skup/,noun,a a scoop - thing or person,A scoop of ice cream.
a bouquet,一束，通常用于花卉或香草,/ə buˈkeɪ/,noun,a a bouquet - thing or person,A bouquet of flowers.
